age,studytime,failures,absences,G1,G2,traveltime,freetime,goout,health,internet,paid,activities,nursery,higher,romantic,famrel,schoolsup,famsup,G3,grade
17,4,0,2,19,7,2,2,2,5,1,1,0,0,1,1,3,0,0,15,B
20,2,0,18,14,9,4,3,3,2,1,1,1,1,0,1,4,1,1,13,C
15,4,0,17,13,8,1,2,3,2,0,1,0,0,1,0,4,0,0,10,C
18,4,1,7,12,17,3,2,4,5,1,0,1,1,0,0,1,0,1,13,C
16,1,0,25,16,16,1,2,2,1,1,1,0,0,1,0,5,0,1,15,B
18,4,1,16,7,4,2,3,3,4,1,1,0,0,1,0,1,1,0,8,D
16,3,2,7,9,7,1,1,4,4,0,1,0,1,0,1,2,1,0,5,F
20,1,0,6,19,9,4,2,4,1,1,1,1,0,1,1,2,0,0,11,C
20,1,0,29,10,16,3,1,1,3,1,0,1,1,1,1,2,0,1,12,C
20,2,3,6,16,18,2,1,4,3,0,0,1,1,1,1,4,0,0,13,C
16,4,0,2,14,13,3,4,3,2,0,0,0,0,1,1,5,1,1,14,B
18,2,2,0,9,13,3,3,1,5,1,0,1,0,0,1,1,1,1,7,D
20,3,0,3,11,17,2,3,2,2,1,0,1,1,0,0,1,0,0,16,B
19,1,0,24,7,7,3,4,2,3,0,0,0,1,0,1,2,1,1,6,F
21,1,2,4,15,18,3,4,3,1,1,1,0,0,1,1,5,1,1,11,C
16,1,0,0,18,17,1,1,3,2,0,1,1,1,0,0,5,1,0,16,B
16,3,0,14,4,12,3,2,1,4,1,1,1,0,1,1,3,1,1,6,F
18,3,0,4,10,8,3,3,1,4,1,1,1,1,1,1,5,0,1,11,C
16,2,0,12,6,11,3,2,3,1,1,0,0,0,1,1,5,0,0,8,D
16,2,0,7,17,12,3,2,3,3,1,1,1,1,0,0,1,1,0,13,C
20,2,0,7,9,13,2,4,2,4,1,0,0,1,0,0,5,1,1,11,C
18,4,3,4,5,8,4,2,2,4,0,1,0,0,0,1,5,1,1,3,F
20,1,0,27,12,9,1,1,2,5,0,1,1,1,0,0,1,0,1,10,C
21,1,1,8,4,4,3,4,3,2,1,1,1,1,1,1,5,0,1,4,F
21,2,0,0,9,14,3,2,4,3,1,0,0,1,0,1,1,1,0,11,C
20,1,1,3,9,19,2,4,3,2,1,1,0,1,0,1,3,1,1,13,C
21,2,0,2,8,15,4,1,3,3,0,0,1,1,0,0,4,1,1,12,C
18,4,3,1,19,18,3,1,2,4,0,0,1,1,0,1,1,1,1,13,C
15,4,0,7,16,10,2,2,3,5,0,1,1,1,1,1,1,0,1,13,C
20,3,0,22,8,7,1,4,1,2,0,0,0,0,0,1,5,0,0,7,D
19,4,0,8,4,14,1,2,3,4,0,0,0,1,0,1,1,0,1,10,C
19,2,0,1,13,5,3,2,3,3,0,1,1,1,0,1,2,0,0,8,D
16,4,0,13,15,8,3,4,3,2,0,1,0,0,1,0,2,0,0,11,C
21,3,0,13,8,15,4,2,3,2,0,1,0,1,0,1,3,0,0,14,B
19,1,1,3,5,6,4,1,4,4,1,1,1,1,0,0,1,1,0,5,F
16,2,0,29,10,9,3,4,3,2,0,1,0,0,0,1,5,1,0,7,D
15,1,0,5,6,11,2,4,1,5,0,1,1,1,1,0,5,0,1,9,D
18,3,0,10,16,10,4,4,1,5,0,0,1,1,1,1,4,0,0,13,C
18,3,1,2,18,19,3,4,3,4,0,1,0,0,0,1,3,0,0,17,A
18,3,0,7,7,6,4,2,2,3,1,1,0,0,0,0,5,1,0,7,D
19,1,0,2,6,11,3,2,4,4,0,0,1,1,1,0,4,1,1,10,C
15,1,0,13,6,5,1,1,3,5,1,1,0,1,1,1,5,1,0,6,F
19,1,1,27,7,13,3,3,3,1,1,0,1,0,1,0,4,1,1,7,D
21,1,1,12,8,12,1,3,3,1,1,1,0,1,1,0,2,0,0,9,D
19,3,0,12,4,7,4,1,2,2,0,1,0,0,1,1,2,1,0,6,F
15,3,1,1,7,4,3,3,2,2,0,0,0,0,0,1,5,0,1,5,F
15,2,1,12,15,11,4,1,2,1,0,1,1,0,0,1,3,1,1,11,C
21,2,0,28,15,10,1,2,4,5,1,0,0,1,0,1,1,1,1,11,C
15,1,2,18,14,14,3,4,1,2,1,1,1,0,0,1,3,1,0,9,D
15,4,0,26,11,16,4,4,4,4,1,1,1,0,1,0,3,1,1,12,C
18,4,0,5,13,19,1,2,2,4,1,0,1,0,1,1,1,0,1,16,B
21,3,0,15,10,8,4,4,1,5,0,1,0,1,1,0,2,0,1,8,D
17,3,0,1,12,13,2,4,1,2,0,1,1,1,1,1,2,0,1,11,C
17,3,0,7,8,16,1,3,2,4,0,0,1,1,1,1,1,0,1,11,C
15,2,2,16,16,8,1,2,2,2,1,1,0,0,0,0,4,0,0,8,D
17,2,0,22,18,10,1,3,4,2,1,0,1,1,0,1,3,0,1,13,C
17,3,0,1,13,8,3,3,2,4,0,1,1,1,0,0,5,0,0,10,C
15,3,0,9,7,11,3,4,1,1,0,0,0,0,0,0,2,1,1,6,F
17,3,2,27,11,14,3,4,3,4,1,1,1,0,0,0,5,0,1,11,C
19,4,0,15,12,16,2,2,2,5,0,0,0,1,1,1,1,1,0,16,B
16,2,0,5,16,9,2,4,2,3,0,0,1,1,1,1,5,0,0,13,C
21,4,0,27,10,16,1,4,4,4,1,1,1,0,1,1,5,1,0,16,B
16,4,0,1,17,8,2,2,4,2,1,1,0,1,1,1,3,0,0,12,C
15,3,3,1,19,12,4,4,2,2,1,0,1,0,1,1,1,1,1,14,B
18,3,3,25,10,14,1,3,1,4,0,1,1,0,0,1,5,0,0,5,F
21,1,0,12,19,19,1,2,1,3,1,0,1,1,0,0,2,0,1,18,A
15,1,3,23,8,5,4,4,3,4,0,1,0,1,0,1,1,0,1,0,F
18,4,0,14,7,4,1,1,2,3,0,1,0,1,1,1,2,0,1,7,D
16,2,2,27,17,11,2,2,4,3,1,0,0,1,1,1,4,1,0,10,C
15,3,0,1,13,15,3,2,1,5,0,0,0,0,1,1,5,0,0,14,B
21,3,0,6,4,6,4,1,3,2,1,1,0,1,1,0,1,0,0,7,D
21,4,0,2,13,17,2,4,2,2,1,1,1,1,0,0,2,1,1,16,B
20,1,1,7,13,14,4,4,1,3,0,1,0,1,1,0,5,0,0,10,C
19,2,0,22,10,15,4,2,2,2,0,1,0,0,0,0,3,1,0,10,C
17,1,0,13,19,15,1,2,2,1,1,1,0,1,1,0,2,1,1,17,A
18,1,0,23,4,15,1,4,1,3,1,0,1,1,0,1,2,0,0,7,D
20,1,1,29,4,10,2,4,1,2,1,1,1,0,1,0,4,0,1,6,F
17,1,0,22,8,13,4,3,1,1,1,1,0,0,1,0,3,1,0,11,C
17,3,1,26,16,16,1,2,2,5,1,0,1,0,0,1,4,0,0,11,C
15,3,3,21,12,14,1,2,2,2,1,0,1,0,0,1,3,1,0,10,C
17,1,0,28,9,11,4,1,3,1,0,0,1,0,1,0,2,0,0,11,C
19,2,1,6,6,18,2,3,4,4,0,1,1,1,0,1,4,0,0,10,C
21,4,0,20,16,19,2,4,2,4,0,0,0,0,1,1,5,1,1,18,A
20,2,2,6,6,16,4,3,4,1,0,0,0,0,1,0,3,0,0,9,D
17,2,0,0,10,16,2,4,1,3,1,0,1,0,0,1,2,0,0,12,C
15,2,1,16,9,9,1,4,2,3,0,0,1,0,1,0,1,0,0,7,D
19,1,1,8,12,15,4,3,3,2,0,1,1,0,1,0,3,1,0,9,D
16,3,2,29,9,13,1,2,3,4,1,1,1,0,0,1,3,0,0,7,D
21,2,1,20,8,17,3,4,4,3,0,1,0,0,1,0,5,1,0,11,C
21,1,0,12,13,12,3,3,1,3,1,0,1,0,1,0,3,0,0,12,C
20,2,0,20,10,10,2,1,4,4,1,0,0,1,1,1,3,1,1,11,C
21,2,2,18,4,18,3,3,1,5,1,0,1,1,1,1,5,0,1,6,F
17,1,0,20,15,13,1,1,3,3,1,0,0,1,0,1,5,0,0,12,C
15,3,0,18,10,8,3,4,4,1,1,0,1,0,0,1,4,1,1,12,C
21,3,2,24,19,11,1,3,3,2,0,0,0,0,0,0,2,0,0,11,C
21,4,1,24,6,18,2,3,3,3,0,1,0,0,1,1,2,1,1,11,C
16,1,1,21,17,5,2,1,1,3,0,1,0,1,0,1,4,0,0,8,D
16,4,0,16,12,10,1,3,4,5,1,0,1,0,0,0,2,1,0,10,C
18,4,1,22,18,18,3,3,4,1,0,1,0,0,0,0,3,0,1,18,A
19,4,0,22,9,7,2,4,3,2,0,0,1,0,1,0,4,1,0,8,D
17,3,1,29,12,12,4,3,3,3,0,0,0,1,0,0,4,0,1,8,D
21,1,0,9,16,15,2,2,1,2,0,1,0,1,0,1,2,1,0,13,C
21,4,1,9,18,4,3,1,2,4,1,0,1,0,1,1,1,1,0,7,D
15,1,3,3,8,10,4,3,2,3,0,1,0,1,1,0,2,0,0,3,F
18,1,0,7,10,9,3,1,3,3,1,0,1,0,1,0,1,1,0,8,D
19,3,3,21,16,11,1,1,2,4,1,0,1,0,1,0,4,1,1,10,C
18,4,0,19,19,8,4,1,2,5,0,1,1,1,1,0,1,0,0,12,C
20,4,2,19,17,18,3,3,2,3,1,0,1,1,1,1,3,0,1,16,B
19,1,1,17,7,4,4,3,2,2,1,0,0,1,0,0,5,0,1,5,F
21,2,0,13,18,4,3,1,3,1,1,0,0,1,0,1,1,0,0,12,C
21,3,1,17,19,12,4,2,2,2,1,1,1,0,1,0,5,0,0,13,C
19,3,2,27,10,18,3,1,2,5,1,0,0,0,1,1,3,0,1,10,C
21,3,0,13,16,13,1,2,1,1,1,0,0,1,0,1,5,1,1,12,C
17,3,0,19,4,9,4,1,3,2,1,0,1,1,1,1,3,1,0,7,D
19,4,1,20,10,13,4,4,4,2,0,1,0,0,1,1,5,1,1,9,D
18,4,1,23,11,8,4,1,4,4,0,1,1,0,0,0,5,0,1,9,D
19,2,1,14,8,18,4,1,1,5,1,1,0,0,1,1,2,0,1,15,B
21,3,1,21,5,4,1,3,1,4,1,1,0,0,1,0,1,1,0,4,F
17,3,0,29,8,9,4,2,3,1,0,1,1,1,0,1,5,1,1,5,F
17,1,1,3,9,9,2,4,4,4,0,0,0,1,0,1,4,0,1,6,F
20,4,0,12,15,6,1,2,2,5,0,1,0,1,0,0,2,1,1,11,C
18,3,0,26,5,16,2,4,1,3,0,1,1,0,0,0,1,0,1,10,C
16,2,0,22,17,19,4,1,4,3,1,0,0,0,0,1,2,0,0,15,B
16,2,0,7,9,11,3,3,3,1,1,1,1,1,1,1,1,1,0,11,C
19,4,0,17,9,17,2,3,2,3,0,0,0,1,1,0,3,0,1,11,C
20,2,0,11,4,18,4,2,3,4,0,1,1,1,1,1,5,0,1,9,D
15,2,1,22,17,4,2,3,1,1,0,0,1,0,1,0,4,0,1,9,D
19,4,0,13,4,4,4,2,4,5,0,0,1,1,1,0,2,0,0,4,F
20,3,0,1,17,9,4,2,4,1,1,1,1,0,0,0,2,1,0,14,B
18,3,0,17,14,13,4,4,4,1,0,1,1,1,1,1,2,0,1,11,C
18,2,0,23,19,16,3,2,4,2,0,0,0,1,1,1,2,0,1,19,A
18,2,0,1,13,4,2,4,2,2,0,0,0,1,1,0,5,1,0,8,D
18,3,0,10,6,9,1,3,2,1,1,0,1,0,1,0,1,0,1,8,D
18,4,0,8,17,4,1,2,3,3,1,0,0,0,1,0,5,0,1,12,C
20,2,1,11,13,19,1,2,2,2,1,0,1,0,0,0,3,1,0,13,C
20,1,0,16,13,17,1,1,1,5,0,0,0,0,1,1,5,1,0,14,B
17,4,0,14,18,16,4,2,1,4,0,0,0,0,1,0,5,0,0,18,A
16,2,0,24,15,9,2,2,4,2,0,1,1,0,1,1,3,0,0,12,C
21,2,2,16,6,6,2,1,1,1,1,0,1,1,1,0,5,1,0,4,F
18,1,0,25,7,17,3,1,3,3,1,1,0,0,1,1,1,0,1,10,C
15,1,0,28,5,17,2,3,2,4,0,1,0,1,1,1,4,0,0,9,D
21,3,0,25,12,18,2,2,2,2,0,0,1,0,0,1,3,0,0,17,A
20,4,0,17,13,11,2,3,2,3,1,0,0,1,1,1,2,1,0,14,B
15,4,0,21,15,16,3,3,1,3,0,1,0,1,0,1,1,0,0,14,B
15,3,0,5,14,18,1,1,2,3,0,0,1,0,0,0,4,1,0,16,B
15,4,0,16,17,9,2,4,4,1,0,0,0,1,1,0,1,1,0,13,C
17,4,0,22,10,16,3,3,4,5,1,1,1,0,1,1,1,1,1,13,C
20,4,0,23,10,14,3,4,4,3,0,1,1,0,1,0,2,1,0,10,C
15,4,1,17,18,16,4,2,1,4,0,1,1,0,0,0,4,0,1,14,B
18,4,1,7,9,4,3,1,2,2,0,0,0,0,1,0,1,1,1,9,D
19,1,1,8,18,18,1,2,1,4,0,0,0,1,1,0,2,0,0,16,B
15,4,3,5,6,8,2,2,2,1,1,1,1,0,1,0,3,1,0,0,F
17,1,0,4,9,11,3,1,3,1,1,0,1,1,0,0,2,1,1,11,C
21,4,0,11,18,6,1,2,3,4,1,1,0,1,0,0,5,0,1,14,B
20,3,0,24,17,15,3,1,1,5,0,0,0,1,1,1,2,1,1,14,B
17,2,0,28,15,9,3,4,4,1,1,1,0,0,0,0,2,1,0,12,C
15,1,2,27,11,8,3,2,1,1,0,0,1,1,1,0,2,0,1,4,F
20,4,0,10,11,9,3,1,4,4,1,1,1,0,0,0,1,1,0,10,C
19,3,2,24,14,13,3,3,2,1,0,0,0,1,1,1,4,1,0,12,C
15,2,0,0,16,4,1,2,4,5,1,0,0,0,0,1,2,1,1,10,C
17,1,2,10,12,10,2,4,4,5,1,1,0,0,1,0,2,0,0,5,F
16,2,0,18,18,12,2,1,2,5,1,0,1,0,1,1,5,1,0,14,B
18,3,0,8,4,5,2,2,3,2,0,0,1,0,0,1,5,0,1,5,F
21,1,0,26,17,13,2,2,2,5,0,1,0,1,0,0,3,0,1,14,B
17,2,0,1,4,18,1,2,1,5,0,0,0,1,0,1,3,0,0,11,C
20,4,0,11,6,8,4,4,1,2,1,0,1,0,0,0,5,1,1,7,D
15,1,0,3,6,13,4,1,1,3,0,0,1,1,0,1,4,1,0,10,C
18,2,1,3,13,7,1,3,1,1,0,1,0,0,1,0,3,1,1,9,D
15,3,0,17,11,9,1,3,1,5,0,1,0,0,1,1,4,1,1,9,D
20,3,0,14,18,9,3,3,3,1,0,1,0,1,0,0,5,0,1,15,B
15,1,0,18,13,14,3,1,3,4,0,1,1,0,1,0,3,0,1,12,C
16,2,1,12,4,19,3,3,4,1,0,1,0,0,1,1,2,1,0,10,C
18,1,0,18,16,5,2,4,1,2,1,0,1,0,0,0,5,1,1,10,C
18,1,0,16,5,5,3,1,2,1,1,0,1,0,1,0,3,0,0,3,F
20,2,0,5,5,7,4,2,1,1,0,1,0,0,1,1,4,1,0,6,F
21,2,0,15,6,4,2,4,3,1,1,0,0,1,0,0,4,1,1,5,F
16,4,1,23,16,12,3,2,1,3,1,0,1,1,0,0,3,1,1,12,C
17,2,0,11,9,17,2,3,3,3,0,0,0,1,1,1,4,1,1,14,B
15,3,0,18,4,17,4,4,4,4,0,0,1,0,0,0,3,1,1,10,C
19,1,1,4,5,16,3,1,4,2,1,1,0,0,1,1,3,1,1,10,C
15,1,0,16,16,10,4,4,4,1,0,1,0,0,0,0,4,0,0,11,C
15,3,0,25,19,19,4,2,3,1,1,0,0,0,0,1,1,0,1,19,A
17,2,0,22,18,15,4,1,1,1,1,0,0,0,0,1,2,0,0,16,B
15,3,3,25,16,10,3,4,1,1,1,1,1,0,0,0,5,0,0,8,D
16,3,0,28,19,18,1,4,2,3,0,0,1,1,1,1,2,1,0,17,A
16,4,1,0,4,6,3,4,3,4,1,0,1,0,0,0,5,1,0,4,F
18,3,0,27,8,18,4,4,2,5,0,0,0,1,0,0,5,0,1,13,C
20,1,0,26,19,14,3,1,4,2,0,1,1,0,1,1,2,0,1,14,B
21,3,0,24,16,18,4,2,1,1,0,1,1,1,1,0,3,0,0,15,B
19,1,3,23,16,15,1,4,3,4,0,0,1,0,1,0,4,0,0,11,C
15,1,0,22,10,6,2,1,2,5,0,0,0,1,1,1,1,0,1,5,F
15,1,1,9,19,4,1,2,2,4,1,0,1,1,0,0,1,1,0,8,D
17,2,2,14,11,6,1,4,2,3,0,0,0,0,1,0,1,1,1,7,D
20,4,0,22,13,6,2,2,1,5,0,0,0,0,0,1,2,0,0,10,C
16,1,0,20,4,7,3,2,1,4,0,0,1,1,1,0,2,0,1,5,F
19,1,0,20,10,7,2,1,1,3,0,1,0,0,0,0,3,1,0,8,D
18,2,0,10,16,6,3,2,3,4,0,1,1,0,1,1,1,1,0,11,C
16,1,1,12,8,19,3,1,1,4,1,0,1,0,0,0,3,1,0,8,D
20,3,2,4,13,13,4,4,3,5,0,1,1,1,0,0,1,0,1,9,D
21,3,0,0,4,19,4,2,2,3,0,0,1,0,1,1,2,1,1,15,B
18,4,0,23,6,15,2,2,2,1,1,0,1,1,0,0,4,0,1,10,C
21,1,1,11,10,11,1,3,4,2,0,1,0,1,0,0,4,0,0,7,D
17,2,0,10,13,11,2,4,1,5,1,1,1,0,0,1,4,1,0,11,C
17,3,1,16,4,16,3,4,2,3,1,0,0,1,0,1,4,1,0,8,D
15,2,0,3,10,16,4,3,1,4,1,0,1,0,1,0,5,1,0,12,C
21,2,1,14,8,4,2,3,3,3,1,1,1,0,0,0,1,0,0,5,F
20,3,0,24,4,10,2,1,2,2,0,1,1,1,0,1,4,1,0,7,D
19,2,0,29,4,14,4,1,1,2,0,0,0,1,1,0,5,1,1,9,D
18,3,0,8,17,5,4,2,2,1,1,0,0,1,1,0,5,0,1,10,C
16,2,0,20,4,4,4,2,2,1,1,0,0,1,1,0,5,1,1,4,F
20,3,0,19,14,6,3,2,1,2,0,1,0,1,0,1,3,1,0,9,D
20,1,1,18,12,19,4,2,2,5,1,0,1,0,0,0,3,0,1,13,C
17,4,2,18,14,7,1,1,2,5,1,1,1,1,1,0,5,0,0,7,D
21,3,0,11,16,16,2,4,2,4,1,0,0,0,0,1,4,0,0,17,A
15,3,0,4,6,9,4,2,2,1,0,1,0,0,1,1,1,0,1,10,C
15,4,0,9,18,13,4,4,3,4,1,1,0,1,0,1,2,0,0,14,B
18,3,0,16,16,19,3,2,2,1,0,1,1,1,1,0,3,1,0,16,B
17,3,0,4,8,17,3,3,4,2,0,1,0,1,0,0,4,1,0,12,C
20,2,0,21,14,8,2,2,2,5,0,0,0,1,1,1,4,0,0,14,B
19,4,0,15,19,19,1,2,1,5,1,1,1,1,0,0,2,1,0,18,A
17,1,0,6,13,18,2,2,4,2,1,1,0,0,1,0,2,1,1,17,A
18,3,0,27,15,18,4,1,3,4,0,1,1,0,0,0,4,0,1,13,C
18,4,0,8,19,17,1,3,4,4,0,0,1,0,0,0,2,0,0,16,B
17,2,3,2,12,7,1,2,4,3,0,0,1,1,0,1,4,0,0,4,F
18,1,0,14,9,11,1,2,4,1,1,0,1,1,1,1,2,1,1,8,D
17,4,1,15,15,14,1,4,1,4,1,0,1,0,0,0,2,0,1,13,C
16,1,0,17,12,19,2,3,1,2,0,0,0,1,0,1,4,1,1,13,C
17,1,0,13,11,15,3,2,1,4,0,0,0,1,0,0,5,1,0,10,C
21,1,1,2,11,19,3,4,3,5,1,1,1,1,1,0,4,1,1,15,B
17,3,1,11,4,17,4,4,1,1,0,1,1,0,0,1,1,1,1,11,C
18,3,3,8,16,7,3,1,1,3,1,1,0,1,1,1,2,0,0,9,D
21,2,0,27,12,16,3,4,4,1,1,0,0,0,0,0,3,1,0,13,C
18,2,0,6,9,13,3,2,1,5,0,1,1,1,1,0,2,0,1,11,C
15,4,1,8,19,15,3,1,2,5,0,1,0,1,1,0,1,1,0,15,B
15,2,0,12,12,19,4,1,1,5,1,0,0,0,0,0,3,0,1,13,C
21,1,0,17,6,16,2,2,3,5,1,1,1,1,1,1,3,0,1,11,C
16,1,0,4,15,5,1,3,3,2,1,0,0,1,1,1,4,0,0,8,D
15,3,0,12,6,18,3,4,2,3,1,1,0,1,0,0,5,1,0,10,C
17,1,2,3,9,6,2,1,3,5,1,0,0,0,1,0,4,1,1,6,F
18,4,0,1,12,9,3,3,3,5,0,0,0,1,1,1,3,1,0,15,B
15,1,0,15,10,11,3,2,4,4,1,0,1,1,1,0,3,0,0,10,C
15,1,0,8,17,11,1,4,2,3,1,1,0,1,1,1,5,1,0,15,B
16,4,0,8,16,18,1,4,4,1,1,1,1,1,0,0,2,1,0,17,A
21,2,0,5,6,14,1,1,4,3,0,0,0,1,1,1,5,1,0,8,D
21,2,0,10,6,18,3,4,1,3,0,0,1,0,1,0,4,0,0,13,C
20,4,0,21,5,12,3,4,2,3,1,1,1,0,0,0,2,1,0,10,C
16,3,1,23,12,10,3,4,1,5,1,1,0,1,0,0,4,1,1,9,D
17,1,0,21,16,16,1,4,1,5,0,0,1,1,1,1,5,0,0,14,B
21,4,0,0,18,5,4,2,4,2,0,1,1,0,0,1,2,0,1,14,B
18,1,2,3,6,11,2,3,3,1,0,1,1,1,0,0,5,0,0,4,F
16,3,1,12,14,10,4,2,2,4,0,1,1,1,0,0,1,0,1,9,D
15,1,0,22,8,11,3,2,3,3,1,0,1,1,0,0,3,0,0,7,D
18,4,0,12,17,15,3,1,4,1,0,0,0,1,0,0,2,0,1,16,B
18,1,0,12,17,6,4,4,4,1,1,1,1,1,0,1,3,1,0,9,D
